#wl,fl,unc,lq,uq,n
##double,double,double,double,double,int
1012.5000,8.85800,0.19477,5.6180,12.3650,300
1013.5000,9.56600,0.22042,5.9520,13.6760,307
1014.5000,9.38600,0.20747,5.9640,13.4560,326
1015.5000,9.51700,0.20107,6.1070,13.0840,301
1016.5000,10.11500,0.25373,5.3860,14.4780,321
1017.5000,9.82100,0.22870,5.5000,13.6180,315
1018.5000,9.33200,0.22908,5.4540,13.7390,327
1019.5000,10.75700,0.21070,7.0180,14.5680,321
1020.5000,11.14700,0.21883,7.0470,14.9490,326
1021.5000,11.16000,0.21351,7.6520,15.4210,331
1022.5000,10.40200,0.22225,6.4440,14.5430,332
1023.5000,10.62200,0.23815,6.3380,14.9640,328
1024.5000,12.02700,0.23307,7.2290,15.6840,329
1025.5000,12.41800,0.20616,8.8280,16.3520,333
1026.5000,12.31300,0.25705,7.7500,17.4090,353
1027.5000,12.72600,0.28363,7.3870,17.9080,344
1028.5000,14.08800,0.27740,8.3630,18.6230,342
1029.5000,13.86300,0.29680,8.0060,19.2060,356
1030.5000,13.02300,0.27504,7.6190,17.8510,346
1031.5000,12.08800,0.27508,7.0850,17.4800,357
1032.5000,13.48400,0.26462,8.5380,18.4250,349
1033.5000,12.93900,0.28316,7.9130,18.5380,352
1034.5000,14.60200,0.24534,9.7440,19.0150,357
1035.5000,14.43400,0.27767,9.1220,19.6590,360
1036.5000,14.41600,0.25662,9.4780,19.1210,353
1037.5000,13.00400,0.25351,8.1330,17.6320,351
1038.5000,12.62000,0.25072,7.8340,17.2150,350
1039.5000,12.53600,0.21538,8.7370,16.6680,339
1040.5000,12.01300,0.20089,8.3750,15.9770,358
1041.5000,10.34000,0.24155,6.2490,15.1960,343
1042.5000,10.95600,0.21569,6.5600,14.7450,360
1043.5000,11.18200,0.19731,7.4240,14.7430,344
1044.5000,10.77800,0.19736,7.1320,14.4530,344
1045.5000,10.04300,0.20670,6.1710,13.9050,350
1046.5000,10.29800,0.19015,6.8870,14.0220,352
1047.5000,10.62100,0.20891,6.2280,14.0780,353
1048.5000,10.59800,0.17432,6.8170,13.3580,352
1049.5000,10.39000,0.16452,7.0210,13.2030,353
1050.5000,10.02400,0.17521,6.5660,13.2240,361
1051.5000,10.63700,0.18081,6.9970,13.7720,351
1052.5000,9.49900,0.17754,6.2240,12.8480,348
1053.5000,9.87300,0.18974,6.4670,13.6970,363
1054.5000,9.65500,0.17839,6.1600,12.9010,357
1055.5000,9.34200,0.19378,5.8810,13.3460,371
1056.5000,9.64800,0.18557,6.3090,13.3900,364
1057.5000,9.90600,0.17105,6.7550,13.2370,359
1058.5000,10.16900,0.16271,7.0330,13.2840,369
1059.5000,10.54000,0.16563,7.5060,13.7650,357
1060.5000,9.78700,0.18444,6.3420,13.5140,378
1061.5000,10.32300,0.18998,6.3600,13.6090,364
1062.5000,9.96000,0.18359,6.6140,13.5710,359
1063.5000,10.58800,0.17864,6.6260,13.5540,376
1064.5000,10.20200,0.18098,6.4390,13.4670,377
1065.5000,9.42100,0.18860,5.6170,12.7440,357
1066.5000,10.41500,0.19649,6.3670,13.9770,375
1067.5000,10.45900,0.18434,6.7750,13.8380,367
1068.5000,10.29300,0.16125,7.0550,13.2750,372
1069.5000,9.93000,0.16847,6.5900,13.0800,371
1070.5000,9.69700,0.18674,6.4380,13.5830,366
1071.5000,9.77200,0.17686,6.5450,13.4040,376
1072.5000,9.77000,0.16883,6.4400,12.9960,377
1073.5000,9.68500,0.16500,6.3110,12.8030,387
1074.5000,9.83600,0.17943,6.3440,13.3760,384
1075.5000,9.44000,0.18468,5.7880,13.1010,392
