observationStartMJD,fieldRA,fiveSigmaDepth,airmass,fieldDec,filter,ra,dec,id
60502.43709490741,18.694117,24.534243674079985,1.0609328142459158,-49.677317,g,20.0,-50.0,15
61358.10791666667,18.694117,24.652726107831175,1.0613822915703055,-49.677317,g,20.0,-50.0,15
62707.40210648148,18.694117,24.32211900062776,1.0609030114022868,-49.677317,g,20.0,-50.0,15
62688.43119212963,18.694117,24.847177014086423,1.0696519768069588,-49.677317,g,20.0,-50.0,15
63151.1797337963,18.694117,23.30017249004701,1.0623469789782014,-49.677317,u,20.0,-50.0,15
62740.30085648148,18.694117,23.40939544363402,1.0636095950284294,-49.677317,u,20.0,-50.0,15
62032.254745370374,18.694117,23.451905915367902,1.060555317681894,-49.677317,u,20.0,-50.0,15
60142.42177083333,18.694117,23.24790453354435,1.061409778215776,-49.677317,u,20.0,-50.0,15
63182.089479166665,18.694117,22.89121928041037,1.0643738401429466,-49.677317,u,20.0,-50.0,15
61656.317881944444,18.694117,24.511955022108168,1.0748753799086965,-49.677317,g,20.0,-50.0,15
61680.20013888889,18.694117,24.816790219495193,1.065070495684076,-49.677317,g,20.0,-50.0,15
62707.41454861111,18.694117,24.265649376327897,1.0615824360247172,-49.677317,g,20.0,-50.0,15
62336.42532407407,18.694117,24.582968295635755,1.0608787652805305,-49.677317,g,20.0,-50.0,15
62828.06700231481,18.694117,23.24537503867996,1.06153887787454,-49.677317,u,20.0,-50.0,15
62437.13875,18.694117,24.829489390548552,1.0614326465852382,-49.677317,g,20.0,-50.0,15
60175.33274305556,18.694117,24.84657921942632,1.0609620868351892,-49.677317,g,20.0,-50.0,15
60582.2253587963,18.694117,23.320000770162416,1.0604543575598377,-49.677317,u,20.0,-50.0,15
60559.27829861111,18.694117,23.431776965301456,1.061583720345401,-49.677317,u,20.0,-50.0,15
61680.22008101852,18.694117,24.63291094206098,1.0607694734736637,-49.677317,g,20.0,-50.0,15
60228.19563657408,18.694117,22.887081542165568,1.0607693617935805,-49.677317,u,20.0,-50.0,15
60879.42010416667,18.694117,24.685070209322515,1.061690452362412,-49.677317,g,20.0,-50.0,15
63191.04800925926,18.694117,24.372204118945707,1.0753473924334684,-49.677317,g,20.0,-50.0,15
59910.074849537035,18.694117,24.800715693329472,1.0617342838660233,-49.677317,g,20.0,-50.0,15
62351.38267361111,18.694117,24.40714296500836,1.0607652185139835,-49.677317,g,20.0,-50.0,15
62443.11104166666,18.694117,23.188744875039575,1.0651872311859858,-49.677317,u,20.0,-50.0,15
