night,expDate,fiveSigmaDepth,filter,fieldDec,fieldRA,expMJD,obsTimes,absFlux,fluxErr
404,34908299,22.204237,z,-0.441474,1.011712,59984.031245,400.949757757,6.6273176444,0.065561686
404,34909571,23.301121,z,-0.493128,1.033665,59984.045961,400.964409757,6.5282940825,0.0655674211
404,34909844,23.222615,z,-0.441474,1.011712,59984.049121,400.967961757,6.7016529375,0.0655923668
410,35430779,24.255331,r,-0.441474,1.011712,59990.078466,406.997037724,6.5778039258,0.0650560128
410,35432819,24.214187,r,-0.441474,1.011712,59990.102074,407.020569723,6.5619054318,0.0650396952
416,35943775,22.118046,z,-0.493128,1.033665,59996.015919,412.93464969,6.2917638693,0.0641934891
416,35945107,22.160432,z,-0.493128,1.033665,59996.031333,412.95018969,6.4277705068,0.0641929672
429,37067490,21.183225,y,-0.493128,1.033665,60009.021876,425.940297618,6.2728445186,0.0625098678
429,37067799,21.29672,y,-0.441474,1.011712,60009.025461,425.944293618,6.1722579296,0.0625189301
439,37929427,21.897811,z,-0.441474,1.011712,60018.998009,435.916533562,5.9658354518,0.0604299944
441,38103017,22.050092,z,-0.441474,1.011712,60021.00715,437.925633551,5.9798871092,0.0597659215
552,47729361,21.655594,y,-0.441474,1.011712,60132.423166,549.341660927,6.2229466371,0.0635128219
552,47730134,21.431778,y,-0.441474,1.011712,60132.432115,549.350540927,6.3209388599,0.0634671962
560,48422154,22.138586,z,-0.441474,1.011712,60140.441603,557.360300883,6.184699655,0.0620423193
563,48679806,24.044439,r,-0.493128,1.033665,60143.423682,560.342204866,6.2006581831,0.0614260427
563,48681209,22.000642,z,-0.441474,1.011712,60143.439925,560.358632866,6.1608295273,0.0614064828
564,48765031,24.671263,g,-0.441474,1.011712,60144.410084,561.32877286,6.1125584366,0.0611524367
565,48851566,24.551399,g,-0.493128,1.033665,60145.411653,562.330436855,6.1134997972,0.0611751101
573,49542730,24.448651,r,-0.493128,1.033665,60153.411233,570.32998481,6.1878946095,0.0615860843
573,49542808,24.456199,r,-0.441474,1.011712,60153.412131,570.33087281,6.1991295037,0.0615849303
573,49543943,22.505721,r,-0.441474,1.011712,60153.425274,570.34374881,6.1986672407,0.061658364
578,49972274,21.858895,y,-0.441474,1.011712,60158.38281,575.301452782,6.3361782989,0.0631800634
578,49972506,21.738281,y,-0.493128,1.033665,60158.385493,575.304116782,6.3720894785,0.0631887678
578,49972894,21.700179,y,-0.493128,1.033665,60158.389983,575.308556782,6.3924607383,0.0631927469
578,49974449,21.757783,y,-0.493128,1.033665,60158.407982,575.326760782,6.3723172704,0.0631938012
579,50056829,21.508322,y,-0.441474,1.011712,60159.361452,576.280028777,6.3567614744,0.0640488641
580,50145415,22.698691,z,-0.441474,1.011712,60160.386754,577.305224771,6.4363563355,0.0637986942
580,50146547,22.724504,z,-0.441474,1.011712,60160.399861,577.318544771,6.4460566138,0.0638052607
582,50318781,23.208339,i,-0.441474,1.011712,60162.393302,579.31210476,6.4255804026,0.0636160947
582,50320454,23.340687,i,-0.441474,1.011712,60162.412669,579.33119676,6.3644616531,0.0636455724
586,50666097,24.327026,r,-0.493128,1.033665,60166.413171,583.331636737,6.3249595671,0.0634708687
595,51435380,24.189852,r,-0.441474,1.011712,60175.316907,592.235612688,6.2397581901,0.0629772578
595,51437381,24.324787,r,-0.441474,1.011712,60175.340064,592.258700687,6.3701358331,0.0629760142
595,51437498,24.349966,r,-0.493128,1.033665,60175.341416,592.260032687,6.315699657,0.0629785481
595,51438947,24.300075,r,-0.493128,1.033665,60175.35819,592.276904687,6.2823065122,0.0629494974
596,51524164,23.272587,u,-0.441474,1.011712,60176.344493,593.263028682,6.3257132144,0.0628489592
598,51696601,24.762606,g,-0.493128,1.033665,60178.340299,595.258808671,6.3096334375,0.0623609033
598,51696679,24.79929,g,-0.441474,1.011712,60178.341194,595.259696671,6.3140919945,0.062347379
598,51697879,24.898759,g,-0.493128,1.033665,60178.355086,595.273904671,6.2456239985,0.0623818073
598,51698039,24.910018,g,-0.441474,1.011712,60178.356939,595.275680671,6.1664033499,0.0623763799
599,51784168,23.609155,i,-0.493128,1.033665,60179.353798,596.272460665,6.1424832032,0.0622330448
599,51785107,23.70018,i,-0.493128,1.033665,60179.364673,596.283116665,6.2384935577,0.0622095341
599,51785891,23.656462,i,-0.493128,1.033665,60179.373744,596.292440665,6.2683678773,0.0622021666
